A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode  150/500 | return=-20.00 | len= 866 | eps=0.655 | loss=0.02435
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  151/500 | return=-21.00 | len= 792 | eps=0.654 | loss=0.02482
Episode  152/500 | return=-20.00 | len= 983 | eps=0.652 | loss=0.02135
Episode  153/500 | return=-21.00 | len= 824 | eps=0.650 | loss=0.02428
Episode  154/500 | return=-21.00 | len= 792 | eps=0.648 | loss=0.02515
Episode  155/500 | return=-21.00 | len= 997 | eps=0.646 | loss=0.01989
Episode  156/500 | return=-20.00 | len= 842 | eps=0.645 | loss=0.02503
Episode  157/500 | return=-21.00 | len= 764 | eps=0.643 | loss=0.02622
Episode  158/500 | return=-20.00 | len= 838 | eps=0.641 | loss=0.02516
Episode  159/500 | return=-21.00 | len= 792 | eps=0.639 | loss=0.02549
Episode  160/500 | return=-21.00 | len= 972 | eps=0.637 | loss=0.02056
Episode  161/500 | return=-21.00 | len= 792 | eps=0.636 | loss=0.02511
Episode  162/500 | return=-21.00 | len= 764 | eps=0.634 | loss=0.02596
Episode  163/500 | return=-20.00 | len=1035 | eps=0.632 | loss=0.02031
Episode  164/500 | return=-21.00 | len= 764 | eps=0.630 | loss=0.02597
Episode  165/500 | return=-21.00 | len= 783 | eps=0.629 | loss=0.02521
Episode  166/500 | return=-21.00 | len=1006 | eps=0.627 | loss=0.01996
Episode  167/500 | return=-20.00 | len= 838 | eps=0.625 | loss=0.02519
Episode  168/500 | return=-21.00 | len= 888 | eps=0.623 | loss=0.02232
Episode  169/500 | return=-20.00 | len= 906 | eps=0.622 | loss=0.02326
Episode  170/500 | return=-21.00 | len= 793 | eps=0.620 | loss=0.02502
Episode  171/500 | return=-21.00 | len= 902 | eps=0.618 | loss=0.02203
Episode  172/500 | return=-20.00 | len=1161 | eps=0.617 | loss=0.01814
Episode  173/500 | return=-20.00 | len= 931 | eps=0.615 | loss=0.02261
Episode  174/500 | return=-21.00 | len= 886 | eps=0.613 | loss=0.02257
Episode  175/500 | return=-21.00 | len= 916 | eps=0.612 | loss=0.02205
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  176/500 | return=-21.00 | len= 792 | eps=0.610 | loss=0.02524
Episode  177/500 | return=-21.00 | len= 824 | eps=0.608 | loss=0.02433
Episode  178/500 | return=-20.00 | len= 964 | eps=0.606 | loss=0.02177
Episode  179/500 | return=-21.00 | len= 792 | eps=0.605 | loss=0.02536
Episode  180/500 | return=-20.00 | len= 920 | eps=0.603 | loss=0.02305
Episode  181/500 | return=-20.00 | len= 979 | eps=0.602 | loss=0.02131
Episode  182/500 | return=-20.00 | len= 870 | eps=0.600 | loss=0.02405
Episode  183/500 | return=-21.00 | len= 811 | eps=0.598 | loss=0.02423
Episode  184/500 | return=-20.00 | len=1031 | eps=0.597 | loss=0.02023
Episode  185/500 | return=-21.00 | len= 884 | eps=0.595 | loss=0.02257
Episode  186/500 | return=-20.00 | len= 931 | eps=0.593 | loss=0.02238
Episode  187/500 | return=-21.00 | len= 824 | eps=0.592 | loss=0.02429
Episode  188/500 | return=-21.00 | len= 792 | eps=0.590 | loss=0.02510
Episode  189/500 | return=-21.00 | len= 852 | eps=0.588 | loss=0.02345
Episode  190/500 | return=-20.00 | len= 926 | eps=0.587 | loss=0.02263
Episode  191/500 | return=-21.00 | len= 794 | eps=0.585 | loss=0.02505
Episode  192/500 | return=-21.00 | len=1038 | eps=0.584 | loss=0.01939
Episode  193/500 | return=-21.00 | len= 849 | eps=0.582 | loss=0.02360
Episode  194/500 | return=-20.00 | len= 906 | eps=0.580 | loss=0.02349
Episode  195/500 | return=-21.00 | len= 824 | eps=0.579 | loss=0.02413
Episode  196/500 | return=-21.00 | len= 912 | eps=0.577 | loss=0.02178
Episode  197/500 | return=-21.00 | len= 792 | eps=0.576 | loss=0.02509
Episode  198/500 | return=-20.00 | len= 861 | eps=0.574 | loss=0.02439
Episode  199/500 | return=-21.00 | len= 812 | eps=0.572 | loss=0.02452
Episode  200/500 | return=-21.00 | len= 824 | eps=0.571 | loss=0.02376
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  201/500 | return=-19.00 | len= 962 | eps=0.569 | loss=0.02289
Episode  202/500 | return=-21.00 | len= 872 | eps=0.568 | loss=0.02285
Episode  203/500 | return=-20.00 | len= 949 | eps=0.566 | loss=0.02194
Episode  204/500 | return=-21.00 | len= 973 | eps=0.565 | loss=0.02059
Episode  205/500 | return=-21.00 | len= 792 | eps=0.563 | loss=0.02535
Episode  206/500 | return=-20.00 | len=1024 | eps=0.562 | loss=0.02071
Episode  207/500 | return=-21.00 | len=1004 | eps=0.560 | loss=0.01992
Episode  208/500 | return=-21.00 | len= 852 | eps=0.559 | loss=0.02348
Episode  209/500 | return=-21.00 | len= 783 | eps=0.557 | loss=0.02542
Episode  210/500 | return=-20.00 | len= 921 | eps=0.555 | loss=0.02299
Episode  211/500 | return=-21.00 | len= 764 | eps=0.554 | loss=0.02642
Episode  212/500 | return=-20.00 | len=1022 | eps=0.552 | loss=0.02062
Episode  213/500 | return=-20.00 | len= 838 | eps=0.551 | loss=0.02499
Episode  214/500 | return=-21.00 | len= 914 | eps=0.549 | loss=0.02187
Episode  215/500 | return=-21.00 | len= 845 | eps=0.548 | loss=0.02363
Episode  216/500 | return=-21.00 | len= 826 | eps=0.546 | loss=0.02425
Episode  217/500 | return=-19.00 | len= 949 | eps=0.545 | loss=0.02319
Episode  218/500 | return=-20.00 | len= 842 | eps=0.543 | loss=0.02480
Episode  219/500 | return=-21.00 | len= 825 | eps=0.542 | loss=0.02408
Episode  220/500 | return=-21.00 | len= 940 | eps=0.541 | loss=0.02128
Episode  221/500 | return=-20.00 | len=1027 | eps=0.539 | loss=0.02040
Episode  222/500 | return=-19.00 | len= 939 | eps=0.538 | loss=0.02341
Episode  223/500 | return=-20.00 | len=1023 | eps=0.536 | loss=0.02079
Episode  224/500 | return=-20.00 | len= 960 | eps=0.535 | loss=0.02176
Episode  225/500 | return=-19.00 | len=1005 | eps=0.533 | loss=0.02203
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  226/500 | return=-21.00 | len= 764 | eps=0.532 | loss=0.02607
Episode  227/500 | return=-21.00 | len= 783 | eps=0.530 | loss=0.02549
Episode  228/500 | return=-21.00 | len= 906 | eps=0.529 | loss=0.02208
Episode  229/500 | return=-19.00 | len= 933 | eps=0.527 | loss=0.02383
Episode  230/500 | return=-21.00 | len= 843 | eps=0.526 | loss=0.02391
Episode  231/500 | return=-21.00 | len= 860 | eps=0.525 | loss=0.02341
Episode  232/500 | return=-20.00 | len= 898 | eps=0.523 | loss=0.02339
Episode  233/500 | return=-21.00 | len= 826 | eps=0.522 | loss=0.02443
Episode  234/500 | return=-21.00 | len= 792 | eps=0.520 | loss=0.02520
Episode  235/500 | return=-21.00 | len= 912 | eps=0.519 | loss=0.02180
Episode  236/500 | return=-19.00 | len=1046 | eps=0.517 | loss=0.02126
Episode  237/500 | return=-21.00 | len= 908 | eps=0.516 | loss=0.02187
Episode  238/500 | return=-20.00 | len=1009 | eps=0.515 | loss=0.02092
Episode  239/500 | return=-20.00 | len= 838 | eps=0.513 | loss=0.02505
Episode  240/500 | return=-21.00 | len= 826 | eps=0.512 | loss=0.02388
Episode  241/500 | return=-21.00 | len= 933 | eps=0.511 | loss=0.02132
Episode  242/500 | return=-21.00 | len= 826 | eps=0.509 | loss=0.02408
Episode  243/500 | return=-19.00 | len= 965 | eps=0.508 | loss=0.02294
Episode  244/500 | return=-21.00 | len= 912 | eps=0.506 | loss=0.02191
Episode  245/500 | return=-21.00 | len= 848 | eps=0.505 | loss=0.02372
Episode  246/500 | return=-20.00 | len= 920 | eps=0.504 | loss=0.02269
Episode  247/500 | return=-20.00 | len= 842 | eps=0.502 | loss=0.02492
Episode  248/500 | return=-21.00 | len= 783 | eps=0.501 | loss=0.02549
Episode  249/500 | return=-20.00 | len= 870 | eps=0.500 | loss=0.02396
Episode  250/500 | return=-21.00 | len= 792 | eps=0.498 | loss=0.02508
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  251/500 | return=-21.00 | len= 884 | eps=0.497 | loss=0.02275
Episode  252/500 | return=-18.00 | len= 995 | eps=0.496 | loss=0.02321
Episode  253/500 | return=-21.00 | len= 854 | eps=0.494 | loss=0.02339
Episode  254/500 | return=-21.00 | len= 840 | eps=0.493 | loss=0.02356
Episode  255/500 | return=-21.00 | len= 812 | eps=0.492 | loss=0.02448
Episode  256/500 | return=-20.00 | len= 928 | eps=0.490 | loss=0.02238
Episode  257/500 | return=-20.00 | len= 932 | eps=0.489 | loss=0.02269
Episode  258/500 | return=-21.00 | len= 852 | eps=0.488 | loss=0.02352
Episode  259/500 | return=-21.00 | len= 933 | eps=0.486 | loss=0.02144
Episode  260/500 | return=-21.00 | len= 912 | eps=0.485 | loss=0.02194
Episode  261/500 | return=-21.00 | len= 854 | eps=0.484 | loss=0.02317
Episode  262/500 | return=-21.00 | len= 764 | eps=0.482 | loss=0.02584
Episode  263/500 | return=-21.00 | len= 824 | eps=0.481 | loss=0.02432
Episode  264/500 | return=-21.00 | len= 880 | eps=0.480 | loss=0.02264
Episode  265/500 | return=-21.00 | len= 882 | eps=0.478 | loss=0.02268
Episode  266/500 | return=-21.00 | len= 852 | eps=0.477 | loss=0.02330
Episode  267/500 | return=-19.00 | len=1083 | eps=0.476 | loss=0.02058
Episode  268/500 | return=-20.00 | len= 930 | eps=0.475 | loss=0.02260
Episode  269/500 | return=-21.00 | len= 792 | eps=0.473 | loss=0.02500
Episode  270/500 | return=-20.00 | len= 870 | eps=0.472 | loss=0.02390
Episode  271/500 | return=-20.00 | len= 986 | eps=0.471 | loss=0.02132
Episode  272/500 | return=-21.00 | len= 824 | eps=0.470 | loss=0.02447
Episode  273/500 | return=-21.00 | len= 880 | eps=0.468 | loss=0.02262
Episode  274/500 | return=-21.00 | len= 764 | eps=0.467 | loss=0.02635
Episode  275/500 | return=-20.00 | len= 842 | eps=0.466 | loss=0.02503
  Eval over 5 eps: mean_return=-21.00 ± 0.00
Episode  276/500 | return=-20.00 | len= 903 | eps=0.465 | loss=0.02326
Episode  277/500 | return=-21.00 | len= 826 | eps=0.463 | loss=0.02411
Episode  278/500 | return=-21.00 | len= 843 | eps=0.462 | loss=0.02336
Episode  279/500 | return=-21.00 | len= 824 | eps=0.461 | loss=0.02435
Episode  280/500 | return=-21.00 | len= 974 | eps=0.460 | loss=0.02067
Episode  281/500 | return=-21.00 | len= 844 | eps=0.458 | loss=0.02366
Episode  282/500 | return=-21.00 | len= 783 | eps=0.457 | loss=0.02557
Episode  283/500 | return=-19.00 | len= 916 | eps=0.456 | loss=0.02406
Episode  284/500 | return=-21.00 | len= 764 | eps=0.455 | loss=0.02581
Episode  285/500 | return=-20.00 | len= 918 | eps=0.454 | loss=0.02298
Episode  286/500 | return=-19.00 | len=1038 | eps=0.452 | loss=0.02129
Episode  287/500 | return=-20.00 | len= 972 | eps=0.451 | loss=0.02175
Episode  288/500 | return=-20.00 | len= 843 | eps=0.450 | loss=0.02492
Episode  289/500 | return=-21.00 | len= 824 | eps=0.449 | loss=0.02415
Episode  290/500 | return=-21.00 | len= 792 | eps=0.447 | loss=0.02487
Episode  291/500 | return=-20.00 | len= 872 | eps=0.446 | loss=0.02394
Episode  292/500 | return=-21.00 | len= 764 | eps=0.445 | loss=0.02604
Episode  293/500 | return=-21.00 | len= 792 | eps=0.444 | loss=0.02522
Episode  294/500 | return=-21.00 | len= 824 | eps=0.443 | loss=0.02433
Episode  295/500 | return=-21.00 | len= 854 | eps=0.442 | loss=0.02311
Episode  296/500 | return=-21.00 | len= 783 | eps=0.440 | loss=0.02543
Episode  297/500 | return=-21.00 | len= 826 | eps=0.439 | loss=0.02423
Episode  298/500 | return=-20.00 | len= 918 | eps=0.438 | loss=0.02293
