#{"t_start": 1764983017.8905473, "env_id": "ALE/Pong-v5"}
r,l,t
10.0,3027,4686.717897
11.0,3151,4701.349014
7.0,3080,4716.999651
16.0,3068,4731.069336
14.0,2818,4745.48029
16.0,2779,4758.226439
13.0,3173,4774.54125
12.0,2977,4788.019779
19.0,3081,4803.871626
17.0,3206,4818.374507
15.0,3227,4835.075488
17.0,3082,4849.479048
14.0,3143,4865.910011
13.0,2889,4879.36179
19.0,3208,4896.034504
13.0,3334,4911.942797
6.0,3037,4928.433424
19.0,2710,4940.615087
14.0,3260,4957.563975
16.0,3042,4971.350222
13.0,3080,4987.081545
16.0,3375,5002.946804
20.0,2740,5016.960792
17.0,2876,5030.145418
17.0,2829,5044.697446
12.0,3284,5059.690091
16.0,2885,5074.478591
14.0,3238,5089.610381
17.0,2631,5103.189508
18.0,2666,5116.847337
20.0,2840,5129.726418
16.0,2780,5144.11525
15.0,2789,5156.777591
13.0,2877,5171.753918
14.0,3158,5186.540852
11.0,2777,5200.837025
17.0,2601,5212.731398
19.0,2482,5225.666005
17.0,2817,5240.112232
14.0,2927,5253.657978
15.0,2862,5268.302619
17.0,2875,5281.311011
20.0,2663,5294.861669
15.0,3018,5308.605585
12.0,3017,5323.843412
20.0,2805,5336.564917
17.0,2941,5351.640141
18.0,2549,5362.995901
20.0,2482,5375.674084
15.0,2757,5389.984561
20.0,2392,5400.951192
11.0,2364,5413.45245
13.0,2363,5424.497721
18.0,2417,5437.482571
14.0,2682,5451.778242
19.0,2483,5463.562841
15.0,2615,5477.573237
16.0,2436,5488.956572
16.0,2784,5503.949407
15.0,2830,5517.582691
17.0,2644,5531.762691
21.0,2368,5544.451569
4.0,3399,5560.851165
12.0,2921,5577.06378
20.0,2404,5587.574965
15.0,2660,5601.145195
14.0,2660,5613.218894
17.0,2489,5626.369153
17.0,2670,5638.559187
17.0,2524,5651.546073
19.0,2608,5664.835397
18.0,2553,5676.111448
15.0,2820,5690.692816
16.0,2845,5703.598801
15.0,2799,5718.341032
15.0,2646,5730.474763
