A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode  308/500 | return=  0.00 | len=  50 | eps=0.427 | loss=0.00000
Episode  309/500 | return=  0.00 | len=  50 | eps=0.425 | loss=0.00000
Episode  310/500 | return=  0.00 | len=  50 | eps=0.424 | loss=0.00000
Traceback (most recent call last):
  File "/Users/ellabourassa/Documents/ecs 32b/ECS170-RLProject/sarsa_pong.py", line 333, in <module>
    train(cfg)
  File "/Users/ellabourassa/Documents/ecs 32b/ECS170-RLProject/sarsa_pong.py", line 280, in train
    next_obs, reward, terminated, truncated, _ = env.step(action)
                                                 ^^^^^^^^^^^^^^^^
  File "/Users/ellabourassa/Documents/ecs 32b/ECS170-RLProject/sarsa_pongvenv/lib/python3.12/site-packages/gymnasium/wrappers/common.py", line 513, in step
    obs, reward, terminated, truncated, info = super().step(action)
                                               ^^^^^^^^^^^^^^^^^^^^
  File "/Users/ellabourassa/Documents/ecs 32b/ECS170-RLProject/sarsa_pongvenv/lib/python3.12/site-packages/gymnasium/core.py", line 327, in step
    return self.env.step(action)
           ^^^^^^^^^^^^^^^^^^^^^
  File "/Users/ellabourassa/Documents/ecs 32b/ECS170-RLProject/sarsa_pongvenv/lib/python3.12/site-packages/gymnasium/wrappers/common.py", line 393, in step
    return super().step(action)
           ^^^^^^^^^^^^^^^^^^^^
  File "/Users/ellabourassa/Documents/ecs 32b/ECS170-RLProject/sarsa_pongvenv/lib/python3.12/site-packages/gymnasium/core.py", line 327, in step
    return self.env.step(action)
           ^^^^^^^^^^^^^^^^^^^^^
  File "/Users/ellabourassa/Documents/ecs 32b/ECS170-RLProject/sarsa_pongvenv/lib/python3.12/site-packages/gymnasium/wrappers/common.py", line 285, in step
    return self.env.step(action)
           ^^^^^^^^^^^^^^^^^^^^^
  File "/Users/ellabourassa/Documents/ecs 32b/ECS170-RLProject/sarsa_pongvenv/lib/python3.12/site-packages/ale_py/env.py", line 310, in step
    return self._get_obs(), reward, is_terminal, is_truncated, self._get_info()
           ^^^^^^^^^^^^^^^
  File "/Users/ellabourassa/Documents/ecs 32b/ECS170-RLProject/sarsa_pongvenv/lib/python3.12/site-packages/ale_py/env.py", line 329, in _get_obs
    image_obs = self.ale.getScreenRGB()
                ^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
